system:index,band,correlation,.geo
222,HH_SR_B5_contrast,-0.03105551721428901,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,HH_SR_B5_corr,-4.064507704079429E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,HH_SR_B5_var,-0.030254629736284976,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,HH_SR_B5_idm,-0.00530948686747036,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,HH_SR_B5_savg,-0.24826756302719066,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,HH_SR_B5_svar,-0.029469490193974213,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,HH_SR_B5_sent,0.005709788200903989,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,HH_SR_B5_ent,0.005514867396443611,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,HH_SR_B5_dvar,-0.032731480568100976,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,HH_SR_B5_dent,0.0065821353488229265,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,HH_SR_B5_imcorr1,-0.0019935402887700715,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,HH_SR_B5_imcorr2,0.0055370201414088275,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,HH_SR_B5_maxcorr,NaN,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,HH_SR_B5_diss,-0.008153342124139876,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,HH_SR_B5_inertia,-0.03105551721428901,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,HH_SR_B5_shade,0.019776786739677876,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,HH_SR_B5_prom,-0.030457448495116,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,HH_SR_B6_asm,-0.0047043923161351016,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,HH_SR_B6_contrast,-0.0034229666386214374,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,HH_SR_B6_corr,5.297444172157422E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,HH_SR_B6_var,-0.0027555115453651406,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,HH_SR_B6_idm,-0.0055069437095458425,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,HH_SR_B6_savg,-0.22034891714633612,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,HH_SR_B6_svar,-0.00213798194073431,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,HH_SR_B6_sent,0.005996174860128999,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,HH_SR_B6_ent,0.005930064122647961,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,HH_SR_B6_dvar,-0.007652406302252031,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,HH_SR_B6_dent,0.006783300602912058,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,HH_SR_B6_imcorr1,-0.0031458606556666563,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,HH_SR_B6_imcorr2,0.006140909827653361,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,HH_SR_B6_maxcorr,NaN,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,HH_SR_B6_diss,0.018011454041465043,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,HH_SR_B6_inertia,-0.0034229666386214374,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,HH_SR_B6_shade,0.022976453203455306,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,HH_SR_B6_prom,-0.024661657737842412,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,HH_SR_B7_asm,-0.004744319523931566,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,HH_SR_B7_contrast,-0.018563035211037464,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,HH_SR_B7_corr,0.0019369370142132505,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,HH_SR_B7_var,-0.017917058776616677,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,HH_SR_B7_idm,-0.005598393125651143,"{""type"":""MultiPoint"",""coordinates"":[]}"
